dates,ffr_surprise,nfp_surprise,EarningsToPrice
19990212,2,0,0.0303765571962811
19990216,-1,0,0.0303765571962811
19990217,0,0,0.0303765571962811
19990218,0,0,0.0303765571962811
19990219,0,0,0.0303765571962811
19990222,0,0,0.0303765571962811
19990223,1,0,0.0303765571962811
19990224,2,0,0.0303765571962811
19990225,0,0,0.0303765571962811
19990226,0,0,0.0303765571962811
19990301,2,0,0.0306090797782734
19990302,-2,0,0.0306090797782734
19990303,0,0,0.0306090797782734
19990304,1,0,0.0306090797782734
19990305,-3,25,0.0306090797782734
19990308,0,0,0.0306090797782734
19990309,0,0,0.0306090797782734
19990310,0,0,0.0306090797782734
19990311,-1,0,0.0306090797782734
19990312,0,0,0.0306090797782734
19990315,0,0,0.0306090797782734
19990316,0,0,0.0306090797782734
19990317,0,0,0.0306090797782734
19990318,0,0,0.0306090797782734
19990319,0,0,0.0306090797782734
19990322,0,0,0.0306090797782734
19990323,0,0,0.0306090797782734
19990324,0,0,0.0306090797782734
19990325,0,0,0.0306090797782734
19990326,0,0,0.0306090797782734
19990329,0,0,0.0306090797782734
19990330,0,0,0.0306090797782734
19990331,0,0,0.0306090797782734
19990401,0,0,0.0299455393786184
19990405,-2.214285714,-117,0.0299455393786184
19990406,-2.214285714,0,0.0299455393786184
19990407,0,0,0.0299455393786184
19990408,0,0,0.0299455393786184
19990409,0,0,0.0299455393786184
19990412,0,0,0.0299455393786184
19990413,0,0,0.0299455393786184
19990414,0,0,0.0299455393786184
19990415,0,0,0.0299455393786184
19990416,2.214285714,0,0.0299455393786184
19990419,0,0,0.0299455393786184
19990420,-2.214285714,0,0.0299455393786184
19990421,0,0,0.0299455393786184
19990422,2.214285714,0,0.0299455393786184
19990423,-2.214285714,0,0.0299455393786184
19990426,0,0,0.0299455393786184
19990427,0,0,0.0299455393786184
19990428,0,0,0.0299455393786184
19990429,0,0,0.0299455393786184
19990430,2.214285714,0,0.0299455393786184
19990503,-0.811904762,0,0.0294135275255477
19990504,-0.811904762,0,0.0294135275255477
19990505,-1.107142857,0,0.0294135275255477
19990506,0.95952381,0,0.0294135275255477
19990507,0.59047619,9,0.0294135275255477
19990510,0.442857143,0,0.0294135275255477
19990511,0.442857143,0,0.0294135275255477
19990512,0.221428571,0,0.0294135275255477
19990513,-0.221428571,0,0.0294135275255477
19990514,3.985714286,0,0.0294135275255477
19990517,0.295238095,0,0.0294135275255477
19990518,-2.50952381,0,0.0294135275255477
19990519,0,0,0.0294135275255477
19990520,0,0,0.0294135275255477
19990521,-2,0,0.0294135275255477
19990524,0,0,0.0294135275255477
19990525,1,0,0.0294135275255477
19990526,0,0,0.0294135275255477
19990527,4,0,0.0294135275255477
